Portfolio,Description,Entity_ID
GCC Strategic Government,High-priority government and strategic public-sector entities.,CBB
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",OPENAI
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",ANTHROPIC
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",MSFT
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",GOOGLE
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",META
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",NVDA
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",IBM
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",ORACLE
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",SAP
Global AI Companies,"Large AI, cloud and enterprise technology organizations.",SALESFORCE
Global Universities,Higher-education institutions for public trust and governance comparison.,KFU
Global Universities,Higher-education institutions for public trust and governance comparison.,CARDIFF
Global Universities,Higher-education institutions for public trust and governance comparison.,SQU
Global Universities,Higher-education institutions for public trust and governance comparison.,OXFORD
Global Universities,Higher-education institutions for public trust and governance comparison.,CAMBRIDGE
Global Universities,Higher-education institutions for public trust and governance comparison.,HARVARD
Global Universities,Higher-education institutions for public trust and governance comparison.,MIT
Global Universities,Higher-education institutions for public trust and governance comparison.,MSU
Global Universities,Higher-education institutions for public trust and governance comparison.,HSE
Global Universities,Higher-education institutions for public trust and governance comparison.,SPBU
Global Universities,Higher-education institutions for public trust and governance comparison.,MGIMO
Global Universities,Higher-education institutions for public trust and governance comparison.,SKOLTECH
Global Universities,Higher-education institutions for public trust and governance comparison.,IMPERIAL
Global Universities,Higher-education institutions for public trust and governance comparison.,UCL
Global Universities,Higher-education institutions for public trust and governance comparison.,LSE_UNI
Global Universities,Higher-education institutions for public trust and governance comparison.,KINGS_COLLEGE
Global Universities,Higher-education institutions for public trust and governance comparison.,MANCHESTER_UNI
Global Universities,Higher-education institutions for public trust and governance comparison.,EDINBURGH_UNI
Global Universities,Higher-education institutions for public trust and governance comparison.,NATIONAL_UNIVERSITY_OMAN
Global Universities,Higher-education institutions for public trust and governance comparison.,GUtech
Global Universities,Higher-education institutions for public trust and governance comparison.,MUSCAT_UNIVERSITY
Global Universities,Higher-education institutions for public trust and governance comparison.,MIDDLE_EAST_COLLEGE
International Institutions,Major global public and multilateral institutions.,UNICEF
International Institutions,Major global public and multilateral institutions.,WHO
International Institutions,Major global public and multilateral institutions.,UNDP
International Institutions,Major global public and multilateral institutions.,WORLD_BANK
International Institutions,Major global public and multilateral institutions.,IMF
International Institutions,Major global public and multilateral institutions.,EU
