Entity_ID,Entity_Name,Short_Name,Entity_Type,Ticker,Country,Sector,Industry,Data_Source_Type,Priority,News_Query,Google_Trends_Query,Search_Query,YouTube_Query,Website,CIK
AMZN,Amazon_Inc,Amazon,Company,AMZN,USA,Technology,Ecommerce_and_Cloud,Financial,High,Amazon,Amazon,Amazon,Amazon,https://www.amazon.com,0001018724
META,Meta_Platforms,Meta,Company,META,USA,Technology,Social_Media,Financial,High,Meta Platforms,Meta,Meta Facebook,Meta,https://about.meta.com,0001326801
NVDA,Nvidia_Corporation,Nvidia,Company,NVDA,USA,Technology,Semiconductors,Financial,High,Nvidia,Nvidia,Nvidia,Nvidia,https://www.nvidia.com,0001045810
IBM,IBM_Corporation,IBM,Company,IBM,USA,Technology,Enterprise_Technology,Financial,Medium,IBM,IBM,IBM,IBM,https://www.ibm.com,0000051143
INTEL,Intel_Corporation,Intel,Company,INTC,USA,Technology,Semiconductors,Financial,Medium,Intel,Intel,Intel,Intel,https://www.intel.com,0000050863
JPM,JPMorgan_Chase,JPMorgan,Company,JPM,USA,Financial_Services,Banking,Financial,High,JPMorgan Chase,JPMorgan,JPMorgan Chase,JPMorgan Chase,https://www.jpmorganchase.com,0000019617
XOM,Exxon_Mobil,ExxonMobil,Company,XOM,USA,Energy,Oil_and_Gas,Financial,High,Exxon Mobil,ExxonMobil,Exxon Mobil,ExxonMobil,https://corporate.exxonmobil.com,0000034088
WMT,Walmart_Inc,Walmart,Company,WMT,USA,Consumer_Goods,Retail,Financial,High,Walmart,Walmart,Walmart,Walmart,https://www.walmart.com,0000104169
KO,Coca_Cola_Company,CocaCola,Company,KO,USA,Consumer_Goods,Beverages,Financial,Medium,Coca Cola,Coca Cola,Coca Cola,Coca Cola,https://www.coca-colacompany.com,0000021344
PFE,Pfizer_Inc,Pfizer,Company,PFE,USA,Health,Pharmaceuticals,Financial,High,Pfizer,Pfizer,Pfizer,Pfizer,https://www.pfizer.com,0000078003
JNJ,Johnson_and_Johnson,JohnsonJohnson,Company,JNJ,USA,Health,Healthcare,Financial,High,Johnson and Johnson,Johnson and Johnson,Johnson and Johnson,Johnson and Johnson,https://www.jnj.com,0000200406
BA,Boeing_Company,Boeing,Company,BA,USA,Aerospace,Aviation,Financial,High,Boeing,Boeing,Boeing,Boeing,https://www.boeing.com,0000012927
TM,Toyota_Motor_Corporation,Toyota,Company,TM,Japan,Automotive,Automotive_Manufacturing,Financial,High,Toyota,Toyota,Toyota,Toyota,https://global.toyota,
SONY,Sony_Group,Sony,Company,SONY,Japan,Technology,Consumer_Electronics,Financial,Medium,Sony,Sony,Sony,Sony,https://www.sony.com,
BABA,Alibaba_Group,Alibaba,Company,BABA,China,Technology,Ecommerce,Financial,High,Alibaba,Alibaba,Alibaba,Alibaba,https://www.alibabagroup.com,0001577552
HSBC,HSBC_Holdings,HSBC,Company,HSBC,United_Kingdom,Financial_Services,Banking,Financial,High,HSBC,HSBC,HSBC,HSBC,https://www.hsbc.com,
BP,BP_PLC,BP,Company,BP,United_Kingdom,Energy,Oil_and_Gas,Financial,High,BP,BP,BP energy,BP,https://www.bp.com,
SHELL,Shell_PLC,Shell,Company,SHEL,United_Kingdom,Energy,Oil_and_Gas,Financial,High,Shell,Shell,Shell energy,Shell,https://www.shell.com,
OXFORD,University_of_Oxford,Oxford,University,,United_Kingdom,Education,Higher_Education,Institutional,High,University of Oxford,University of Oxford,University of Oxford,University of Oxford,https://www.ox.ac.uk,
CAMBRIDGE,University_of_Cambridge,Cambridge,University,,United_Kingdom,Education,Higher_Education,Institutional,High,University of Cambridge,University of Cambridge,University of Cambridge,University of Cambridge,https://www.cam.ac.uk,
HARVARD,Harvard_University,Harvard,University,,USA,Education,Higher_Education,Institutional,High,Harvard University,Harvard University,Harvard University,Harvard University,https://www.harvard.edu,
MIT,Massachusetts_Institute_of_Technology,MIT,University,,USA,Education,Higher_Education,Institutional,High,MIT,MIT,Massachusetts Institute of Technology,MIT,https://www.mit.edu,
WORLD_BANK,World_Bank,World_Bank,International_Organization,,Global,Development,International_Finance,Institutional,High,World Bank,World Bank,World Bank,World Bank,https://www.worldbank.org,
IMF,International_Monetary_Fund,IMF,International_Organization,,Global,Financial_Services,International_Finance,Institutional,High,International Monetary Fund,IMF,International Monetary Fund,IMF,https://www.imf.org,
EU,European_Union,EU,Government,,Global,Public_Sector,Supranational_Government,Government,High,European Union,European Union,European Union,European Union,https://european-union.europa.eu,
SBER,Sberbank,Sberbank,Company,SBER.ME,Russia,Financial_Services,Banking,Financial,High,Sberbank,Sberbank,Sberbank,Sberbank,https://www.sberbank.com,
GAZPROM,Gazprom,Gazprom,Company,GAZP.ME,Russia,Energy,Oil_and_Gas,Financial,High,Gazprom,Gazprom,Gazprom,Gazprom,https://www.gazprom.com,
ROSNEFT,Rosneft,Rosneft,Company,ROSN.ME,Russia,Energy,Oil_and_Gas,Financial,High,Rosneft,Rosneft,Rosneft,Rosneft,https://www.rosneft.com,
LUKOIL,Lukoil,Lukoil,Company,LKOH.ME,Russia,Energy,Oil_and_Gas,Financial,High,Lukoil,Lukoil,Lukoil,Lukoil,https://www.lukoil.com,
NOVATEK,Novatek,Novatek,Company,NVTK.ME,Russia,Energy,Natural_Gas,Financial,High,Novatek,Novatek,Novatek,Novatek,https://www.novatek.ru,
NORILSK_NICKEL,Norilsk_Nickel,Nornickel,Company,GMKN.ME,Russia,Mining,Metals,Financial,High,Norilsk Nickel,Norilsk Nickel,Nornickel,Nornickel,https://www.nornickel.com,
RUSAL,Rusal,Rusal,Company,RUAL.ME,Russia,Mining,Aluminum,Financial,High,Rusal,Rusal,Rusal,Rusal,https://rusal.ru,
SEVERSTAL,Severstal,Severstal,Company,CHMF.ME,Russia,Mining,Steel,Financial,High,Severstal,Severstal,Severstal,Severstal,https://severstal.com,
YANDEX,Yandex,Yandex,Company,YDEX.ME,Russia,Technology,Internet_Services,Financial,High,Yandex,Yandex,Yandex,Yandex,https://yandex.com,
VK,VK_Company,VK,Company,VKCO.ME,Russia,Technology,Social_Media,Financial,High,VK company,VK,VK company,VK,https://vk.company,
OZON,Ozon_Holdings,Ozon,Company,OZON.ME,Russia,Technology,Ecommerce,Financial,High,Ozon,Ozon,Ozon,Ozon,https://www.ozon.ru,
VTB,VTB_Bank,VTB,Company,VTBR.ME,Russia,Financial_Services,Banking,Financial,High,VTB Bank,VTB,VTB Bank,VTB,https://www.vtb.com,
MOEX,Moscow_Exchange,MOEX,Company,MOEX.ME,Russia,Financial_Services,Stock_Exchange,Financial,High,Moscow Exchange,Moscow Exchange,MOEX,MOEX,https://www.moex.com,
AEROFLOT,Aeroflot,Aeroflot,Company,AFLT.ME,Russia,Transportation,Airlines,Financial,High,Aeroflot,Aeroflot,Aeroflot,Aeroflot,https://www.aeroflot.ru,
MAGNIT,Magnit,Magnit,Company,MGNT.ME,Russia,Consumer_Goods,Retail,Financial,High,Magnit,Magnit,Magnit retail,Magnit,https://www.magnit.com,
ROSTELECOM,Rostelecom,Rostelecom,Company,RTKM.ME,Russia,Telecommunications,Telecom,Financial,High,Rostelecom,Rostelecom,Rostelecom,Rostelecom,https://www.company.rt.ru,
RZD,Russian_Railways,RZD,Company,,Russia,Transportation,Railways,Institutional,High,Russian Railways,Russian Railways,Russian Railways,Russian Railways,https://eng.rzd.ru,
ROSATOM,Rosatom,Rosatom,Government,,Russia,Energy,Nuclear_Energy,Government,High,Rosatom,Rosatom,Rosatom,Rosatom,https://www.rosatom.ru,
ROSTEC,Rostec,Rostec,Government,,Russia,Aerospace,Industrial_Technology,Government,High,Rostec,Rostec,Rostec,Rostec,https://rostec.ru,
CBR,Central_Bank_of_Russia,CBR,Government,,Russia,Financial_Services,Central_Bank,Government,Critical,Central Bank of Russia,Central Bank of Russia,Bank of Russia,Bank of Russia,https://www.cbr.ru,
MINFIN_RUSSIA,Russian_Ministry_of_Finance,MinFin_Russia,Government,,Russia,Public_Sector,Finance_Ministry,Government,High,Russian Ministry of Finance,Russian Ministry of Finance,Russia Ministry of Finance,Russian Ministry of Finance,https://minfin.gov.ru,
MOSCOW_GOV,Moscow_Government,Moscow_Gov,Government,,Russia,Public_Sector,City_Government,Government,High,Moscow Government,Moscow Government,Moscow Government,Moscow Government,https://www.mos.ru,
MSU,Moscow_State_University,MSU,University,,Russia,Education,Higher_Education,Institutional,High,Moscow State University,Moscow State University,Moscow State University,Moscow State University,https://www.msu.ru,
HSE,HSE_University,HSE,University,,Russia,Education,Higher_Education,Institutional,High,HSE University,HSE University,HSE University,HSE University,https://www.hse.ru/en,
SPBU,Saint_Petersburg_State_University,SPBU,University,,Russia,Education,Higher_Education,Institutional,High,Saint Petersburg State University,Saint Petersburg State University,SPBU,SPBU,https://english.spbu.ru,
MGIMO,MGIMO_University,MGIMO,University,,Russia,Education,Higher_Education,Institutional,High,MGIMO University,MGIMO,MGIMO University,MGIMO,https://english.mgimo.ru,
SKOLTECH,Skolkovo_Institute_of_Science_and_Technology,Skoltech,University,,Russia,Education,Science_and_Technology,Institutional,High,Skoltech,Skoltech,Skolkovo Institute of Science and Technology,Skoltech,https://www.skoltech.ru,
AZN,AstraZeneca,AstraZeneca,Company,AZN.L,United_Kingdom,Health,Pharmaceuticals,Financial,High,AstraZeneca,AstraZeneca,AstraZeneca,AstraZeneca,https://www.astrazeneca.com,
GSK,GSK_PLC,GSK,Company,GSK.L,United_Kingdom,Health,Pharmaceuticals,Financial,High,GSK,GSK,GSK pharmaceutical,GSK,https://www.gsk.com,
ULVR,Unilever_PLC,Unilever,Company,ULVR.L,United_Kingdom,Consumer_Goods,Household_and_Personal_Products,Financial,High,Unilever,Unilever,Unilever,Unilever,https://www.unilever.com,
BARC,Barclays_PLC,Barclays,Company,BARC.L,United_Kingdom,Financial_Services,Banking,Financial,High,Barclays,Barclays,Barclays Bank,Barclays,https://www.barclays.com,
LLOY,Lloyds_Banking_Group,Lloyds,Company,LLOY.L,United_Kingdom,Financial_Services,Banking,Financial,High,Lloyds Banking Group,Lloyds Bank,Lloyds Banking Group,Lloyds Bank,https://www.lloydsbankinggroup.com,
NWG,NatWest_Group,NatWest,Company,NWG.L,United_Kingdom,Financial_Services,Banking,Financial,High,NatWest Group,NatWest,NatWest Group,NatWest,https://www.natwestgroup.com,
LSEG,London_Stock_Exchange_Group,LSEG,Company,LSEG.L,United_Kingdom,Financial_Services,Market_Infrastructure,Financial,High,London Stock Exchange Group,London Stock Exchange Group,LSEG,LSEG,https://www.lseg.com,
PRU,Prudential_PLC,Prudential,Company,PRU.L,United_Kingdom,Financial_Services,Insurance,Financial,Medium,Prudential plc,Prudential,Prudential plc,Prudential,https://www.prudentialplc.com,
AV,Aviva_PLC,Aviva,Company,AV.L,United_Kingdom,Financial_Services,Insurance,Financial,Medium,Aviva,Aviva,Aviva insurance,Aviva,https://www.aviva.com,
RR,Rolls_Royce_Holdings,RollsRoyce,Company,RR.L,United_Kingdom,Aerospace,Aviation_and_Engines,Financial,High,Rolls Royce Holdings,Rolls Royce,Rolls Royce Holdings,Rolls Royce,https://www.rolls-royce.com,
BAE,BAE_Systems,BAE,Company,BA.L,United_Kingdom,Aerospace,Defense,Financial,High,BAE Systems,BAE Systems,BAE Systems,BAE Systems,https://www.baesystems.com,
VOD,Vodafone_Group,Vodafone,Company,VOD.L,United_Kingdom,Telecommunications,Telecom,Financial,High,Vodafone,Vodafone,Vodafone,Vodafone,https://www.vodafone.com,
BT,BT_Group,BT,Company,BT-A.L,United_Kingdom,Telecommunications,Telecom,Financial,Medium,BT Group,BT Group,BT Group,BT,https://www.bt.com,
NG,National_Grid,NationalGrid,Company,NG.L,United_Kingdom,Energy,Utilities,Financial,High,National Grid,National Grid,National Grid,National Grid,https://www.nationalgrid.com,
SSE,SSE_PLC,SSE,Company,SSE.L,United_Kingdom,Energy,Utilities,Financial,Medium,SSE plc,SSE,SSE energy,SSE,https://www.sse.com,
DGE,Diageo_PLC,Diageo,Company,DGE.L,United_Kingdom,Consumer_Goods,Beverages,Financial,Medium,Diageo,Diageo,Diageo,Diageo,https://www.diageo.com,
TSCO,Tesco_PLC,Tesco,Company,TSCO.L,United_Kingdom,Consumer_Goods,Retail,Financial,High,Tesco,Tesco,Tesco,Tesco,https://www.tescoplc.com,
SBRY,Sainsburys,Sainsburys,Company,SBRY.L,United_Kingdom,Consumer_Goods,Retail,Financial,Medium,Sainsbury's,Sainsbury's,Sainsbury's,Sainsbury's,https://www.about.sainsburys.co.uk,
MKS,Marks_and_Spencer,MarksSpencer,Company,MKS.L,United_Kingdom,Consumer_Goods,Retail,Financial,Medium,Marks and Spencer,Marks and Spencer,Marks and Spencer,M&S,https://corporate.marksandspencer.com,
REL,RELX_PLC,RELX,Company,REL.L,United_Kingdom,Technology,Information_Services,Financial,Medium,RELX,RELX,RELX,RELX,https://www.relx.com,
EXPN,Experian_PLC,Experian,Company,EXPN.L,United_Kingdom,Technology,Data_and_Analytics,Financial,Medium,Experian,Experian,Experian,Experian,https://www.experianplc.com,
CPG,Compass_Group,Compass,Company,CPG.L,United_Kingdom,Consumer_Goods,Food_Services,Financial,Medium,Compass Group,Compass Group,Compass Group,Compass Group,https://www.compass-group.com,
UK_PARLIAMENT,UK_Parliament,UK_Parliament,Government,,United_Kingdom,Public_Sector,Parliament,Government,High,UK Parliament,UK Parliament,UK Parliament,UK Parliament,https://www.parliament.uk,
BANK_OF_ENGLAND,Bank_of_England,Bank_of_England,Government,,United_Kingdom,Financial_Services,Central_Bank,Government,Critical,Bank of England,Bank of England,Bank of England,Bank of England,https://www.bankofengland.co.uk,
NHS,National_Health_Service,NHS,Government,,United_Kingdom,Health,Public_Health,Government,Critical,NHS,NHS,National Health Service,NHS,https://www.nhs.uk,
BBC,British_Broadcasting_Corporation,BBC,Institution,,United_Kingdom,Media,Broadcasting,Institutional,High,BBC,BBC,British Broadcasting Corporation,BBC,https://www.bbc.com,
IMPERIAL,Imperial_College_London,Imperial,University,,United_Kingdom,Education,Higher_Education,Institutional,High,Imperial College London,Imperial College London,Imperial College London,Imperial College London,https://www.imperial.ac.uk,
UCL,University_College_London,UCL,University,,United_Kingdom,Education,Higher_Education,Institutional,High,University College London,UCL,University College London,UCL,https://www.ucl.ac.uk,
LSE_UNI,London_School_of_Economics,LSE,University,,United_Kingdom,Education,Higher_Education,Institutional,High,London School of Economics,LSE,London School of Economics,LSE,https://www.lse.ac.uk,
KINGS_COLLEGE,Kings_College_London,Kings,University,,United_Kingdom,Education,Higher_Education,Institutional,High,King's College London,King's College London,King's College London,King's College London,https://www.kcl.ac.uk,
MANCHESTER_UNI,University_of_Manchester,Manchester_University,University,,United_Kingdom,Education,Higher_Education,Institutional,High,University of Manchester,University of Manchester,University of Manchester,University of Manchester,https://www.manchester.ac.uk,
EDINBURGH_UNI,University_of_Edinburgh,Edinburgh_University,University,,United_Kingdom,Education,Higher_Education,Institutional,High,University of Edinburgh,University of Edinburgh,University of Edinburgh,University of Edinburgh,https://www.ed.ac.uk,
PDO,Petroleum_Development_Oman,PDO,Company,,Oman,Energy,Oil_and_Gas,Institutional,High,Petroleum Development Oman,Petroleum Development Oman,Petroleum Development Oman,Petroleum Development Oman,https://www.pdo.co.om,
OMAN_LNG,Oman_LNG,Oman_LNG,Company,,Oman,Energy,Liquefied_Natural_Gas,Institutional,High,Oman LNG,Oman LNG,Oman LNG,Oman LNG,https://www.omanlng.co.om,
ASYAD,Asyad_Group,Asyad,Company,,Oman,Transportation,Logistics,Institutional,High,Asyad Group,Asyad Group,Asyad Group,Asyad Group,https://www.asyad.om,
OMAN_AIR,Oman_Air,Oman_Air,Company,,Oman,Transportation,Airlines,Institutional,High,Oman Air,Oman Air,Oman Air,Oman Air,https://www.omanair.com,
SALAM_AIR,SalamAir,SalamAir,Company,,Oman,Transportation,Airlines,Institutional,Medium,SalamAir,SalamAir,SalamAir,SalamAir,https://www.salamair.com,
PORT_SALALAH,Port_of_Salalah,Port_Salalah,Company,,Oman,Transportation,Ports,Institutional,High,Port of Salalah,Port of Salalah,Port of Salalah,Port of Salalah,https://www.salalahport.com,
SOHAR_PORT,Sohar_Port_and_Freezone,Sohar_Port,Company,,Oman,Transportation,Ports_and_Freezones,Institutional,High,Sohar Port and Freezone,Sohar Port,Sohar Port and Freezone,Sohar Port,https://www.soharportandfreezone.com,
DUQM_PORT,Port_of_Duqm,Port_Duqm,Company,,Oman,Transportation,Ports,Institutional,High,Port of Duqm,Port of Duqm,Port of Duqm,Port of Duqm,https://www.portduqm.com,
OMRAN,Oman_Tourism_Development_Company,Omran,Company,,Oman,Tourism,Tourism_Development,Institutional,High,Omran Oman,Omran Oman,Oman Tourism Development Company,Omran,https://www.omran.om,
OOREDOO_OMAN,Ooredoo_Oman,Ooredoo_Oman,Company,,Oman,Telecommunications,Telecom,Institutional,High,Ooredoo Oman,Ooredoo Oman,Ooredoo Oman,Ooredoo Oman,https://www.ooredoo.om,
VODAFONE_OMAN,Vodafone_Oman,Vodafone_Oman,Company,,Oman,Telecommunications,Telecom,Institutional,Medium,Vodafone Oman,Vodafone Oman,Vodafone Oman,Vodafone Oman,https://www.vodafone.om,
BANK_DHOFAR,Bank_Dhofar,Bank_Dhofar,Company,,Oman,Financial_Services,Banking,Institutional,High,Bank Dhofar,Bank Dhofar,Bank Dhofar,Bank Dhofar,https://www.bankdhofar.com,
NBO,National_Bank_of_Oman,NBO,Company,,Oman,Financial_Services,Banking,Institutional,High,National Bank of Oman,National Bank of Oman,NBO Oman,National Bank of Oman,https://www.nbo.om,
SOHAR_INTL,Sohar_International,Sohar_Intl,Company,,Oman,Financial_Services,Banking,Institutional,High,Sohar International,Sohar International,Sohar International Bank,Sohar International,https://www.soharinternational.com,
AHLI_BANK_Oman,Ahli_Bank_Oman,Ahli_Bank,Company,,Oman,Financial_Services,Banking,Institutional,Medium,Ahli Bank Oman,Ahli Bank Oman,Ahli Bank Oman,Ahli Bank Oman,https://www.ahlibank.om,
MUSCAT_STOCK_EXCHANGE,Muscat_Stock_Exchange,MSX,Institution,,Oman,Financial_Services,Stock_Exchange,Institutional,High,Muscat Stock Exchange,Muscat Stock Exchange,Muscat Stock Exchange,Muscat Stock Exchange,https://www.msx.om,
CENTRAL_BANK_OMAN,Central_Bank_of_Oman,CBO,Government,,Oman,Financial_Services,Central_Bank,Government,Critical,Central Bank of Oman,Central Bank of Oman,Central Bank of Oman,Central Bank of Oman,https://www.cbo.gov.om,
FSA_OMAN,Financial_Services_Authority_Oman,FSA_Oman,Government,,Oman,Financial_Services,Financial_Regulation,Government,High,Financial Services Authority Oman,Financial Services Authority Oman,Oman Financial Services Authority,Financial Services Authority Oman,https://fsa.gov.om,
MTCIT_OMAN,Ministry_of_Transport_Communications_and_Information_Technology,MTCIT,Government,,Oman,Public_Sector,Transport_and_Technology,Government,High,Oman Ministry of Transport Communications and Information Technology,Oman MTCIT,Oman MTCIT,Oman MTCIT,https://www.mtcit.gov.om,
MOH_OMAN,Oman_Ministry_of_Health,MOH_Oman,Government,,Oman,Health,Public_Health,Government,Critical,Oman Ministry of Health,Oman Ministry of Health,Oman Ministry of Health,Oman Ministry of Health,https://www.moh.gov.om,
MOE_OMAN,Oman_Ministry_of_Education,MOE_Oman,Government,,Oman,Education,Public_Education,Government,High,Oman Ministry of Education,Oman Ministry of Education,Oman Ministry of Education,Oman Ministry of Education,https://www.moe.gov.om,
MHERI_OMAN,Oman_Ministry_of_Higher_Education_Research_and_Innovation,MHERI_Oman,Government,,Oman,Education,Higher_Education,Government,High,Oman Ministry of Higher Education Research and Innovation,Oman Higher Education,Oman Ministry of Higher Education,Oman Higher Education,https://www.moheri.gov.om,
OIA,Oman_Investment_Authority,OIA,Government,,Oman,Financial_Services,Sovereign_Wealth_Fund,Government,Critical,Oman Investment Authority,Oman Investment Authority,Oman Investment Authority,Oman Investment Authority,https://www.oia.gov.om,
TAX_AUTHORITY_OMAN,Oman_Tax_Authority,Tax_Authority,Government,,Oman,Public_Sector,Tax_Authority,Government,High,Oman Tax Authority,Oman Tax Authority,Oman Tax Authority,Oman Tax Authority,https://tportal.taxoman.gov.om,
ROP,Royal_Oman_Police,ROP,Government,,Oman,Public_Sector,Police,Government,Critical,Royal Oman Police,Royal Oman Police,Royal Oman Police,Royal Oman Police,https://www.rop.gov.om,
MUSCAT_MUNICIPALITY,Muscat_Municipality,Muscat_Municipality,Government,,Oman,Public_Sector,Municipality,Government,High,Muscat Municipality,Muscat Municipality,Muscat Municipality,Muscat Municipality,https://www.mm.gov.om,
NATIONAL_UNIVERSITY_OMAN,National_University_of_Oman,National_University,University,,Oman,Education,Higher_Education,Institutional,Medium,National University of Oman,National University of Oman,National University Oman,National University Oman,https://www.nu.edu.om,
GUtech,German_University_of_Technology_in_Oman,GUtech,University,,Oman,Education,Higher_Education,Institutional,Medium,German University of Technology in Oman,GUtech,GUtech Oman,GUtech,https://www.gutech.edu.om,
MUSCAT_UNIVERSITY,Muscat_University,Muscat_University,University,,Oman,Education,Higher_Education,Institutional,Medium,Muscat University,Muscat University,Muscat University,Muscat University,https://www.muscatuniversity.edu.om,
MIDDLE_EAST_COLLEGE,Middle_East_College,MEC,University,,Oman,Education,Higher_Education,Institutional,Medium,Middle East College Oman,Middle East College Oman,Middle East College Oman,Middle East College,https://www.mec.edu.om,
